"","index","minute","nsunfishm","nobserver","nsunfish","wdirlocal","seastate","shark","leatherback","wdirlocal2","month","ferry","sst","sstanom","year","iso13","non_zero","totzooL4","totmedusL4","siphL4","cfinL4","chelL4","lcopL4","siphcpr","cnidarcpr","phytocpr"
"90","1971-07-13",90,0,3,0,NA,1.5,NA,0,"",7,0,15.5500001907,0.0149696047377983,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"91","1971-07-14",90,0,2,0,NA,1.5,NA,0,"",7,0,15.5500001907,0.0149696047377983,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"92","1971-07-15",60,0,3,0,NA,2.5,NA,0,"",7,0,15.5500001907,0.0149696047377983,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"93","1971-07-16",30,0,3,0,NA,3,NA,0,"",7,0,15.5500001907,0.0149696047377983,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"94","1971-07-17",90,0,3,0,NA,1.5,NA,0,"",7,0,15.5500001907,0.0149696047377983,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"95","1971-07-18",30,0,4,0,NA,3,NA,0,"",7,0,15.5500001907,0.0149696047377983,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"96","1971-07-19",90,0,4,0,NA,3,NA,0,"",7,0,15.5500001907,0.0149696047377983,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"97","1971-07-20",50,0,5,0,NA,1.5,NA,0,"",7,0,15.5500001907,0.0149696047377983,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"98","1971-07-21",90,0,3,0,NA,4,NA,0,"",7,0,15.5500001907,0.0149696047377983,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"99","1971-07-22",120,0,10,0,NA,3,NA,0,"",7,0,15.5500001907,0.0149696047377983,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"100","1971-07-23",360,0,10,0,NA,3.5,NA,0,"",7,0,15.5500001907,0.0149696047377983,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"101","1971-07-24",30,0,10,0,NA,NA,NA,0,"",7,1,15.5500001907,0.0149696047377983,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"102","1971-07-25",60,0,10,0,NA,1.5,NA,0,"",7,0,15.5500001907,0.0149696047377983,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"103","1971-08-02",60,0,1,0,NA,5,NA,0,"",8,0,16.2150001526,-0.0938260264414623,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"104","1971-08-03",120,0,1,0,NA,2,NA,0,"",8,0,16.2150001526,-0.0938260264414623,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"105","1971-08-04",150,0,1,0,NA,2,NA,0,"",8,0,16.2150001526,-0.0938260264414623,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"106","1971-08-05",60,0,1,0,NA,1.5,NA,0,"",8,0,16.2150001526,-0.0938260264414623,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"107","1971-08-07",75,0,1,0,NA,2.5,NA,0,"",8,0,16.2150001526,-0.0938260264414623,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"108","1971-08-08",30,0,1,0,NA,2,NA,3,"",8,0,16.2150001526,-0.0938260264414623,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"109","1971-08-09",30,0,1,0,NA,1.5,NA,0,"",8,0,16.2150001526,-0.0938260264414623,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"110","1971-08-10",30,0,2,0,NA,3.5,NA,0,"",8,0,16.2150001526,-0.0938260264414623,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"111","1971-08-11",90,0,2,0,NA,4,NA,0,"",8,0,16.2150001526,-0.0938260264414623,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"112","1971-08-12",120,0,2,0,NA,3.5,NA,0,"",8,0,16.2150001526,-0.0938260264414623,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"113","1971-08-13",90,0,5,0,NA,1.5,NA,0,"",8,0,16.2150001526,-0.0938260264414623,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"114","1971-08-14",60,0,7,0,NA,2,NA,0,"",8,0,16.2150001526,-0.0938260264414623,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"115","1971-08-15",60,0,5,0,NA,1.5,NA,0,"",8,0,16.2150001526,-0.0938260264414623,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"116","1971-08-17",90,0,10,0,NA,4,NA,0,"",8,0,16.2150001526,-0.0938260264414623,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"117","1971-08-18",60,0,10,0,NA,4,NA,0,"",8,0,16.2150001526,-0.0938260264414623,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"118","1971-08-19",60,0,10,0,NA,1,NA,0,"",8,0,16.2150001526,-0.0938260264414623,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"119","1971-08-20",135,0,12,0,NA,2.5,NA,0,"",8,0,16.2150001526,-0.0938260264414623,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"120","1971-08-21",30,0,12,0,NA,1.5,NA,0,"",8,0,16.2150001526,-0.0938260264414623,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"121","1971-08-22",45,0,11,0,NA,3.5,NA,0,"",8,0,16.2150001526,-0.0938260264414623,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
